tweet_id,nb_favorites,nb_retweets,nb_user_followers,nb_user_favourites,creation_date
892420643555336193,36289,7722,8774885,146020,2017-08-01 16:23:56+00:00
892177421306343426,31291,5714,8774885,146020,2017-08-01 00:17:27+00:00
891815181378084864,23565,3785,8774885,146020,2017-07-31 00:18:03+00:00
891689557279858688,39588,7884,8774885,146020,2017-07-30 15:58:51+00:00
891327558926688256,37806,8499,8774885,146020,2017-07-29 16:00:24+00:00
891087950875897856,19043,2848,8774885,146020,2017-07-29 00:08:17+00:00
890971913173991426,11091,1854,8774885,146020,2017-07-28 16:27:12+00:00
890729181411237888,61150,17238,8774885,146020,2017-07-28 00:22:40+00:00
890609185150312448,26200,3922,8774885,146020,2017-07-27 16:25:51+00:00
890240255349198849,29935,6713,8774885,146020,2017-07-26 15:59:51+00:00
890006608113172480,28820,6698,8774885,146020,2017-07-26 00:31:25+00:00
889880896479866881,26216,4562,8774885,146020,2017-07-25 16:11:53+00:00
889665388333682689,45138,9149,8774885,146020,2017-07-25 01:55:32+00:00
889638837579907072,25411,4104,8774885,146020,2017-07-25 00:10:02+00:00
889531135344209921,14211,2061,8774885,146020,2017-07-24 17:02:04+00:00
889278841981685760,23675,4870,8774885,146020,2017-07-24 00:19:32+00:00
888917238123831296,27359,4114,8774885,146020,2017-07-23 00:22:39+00:00
888804989199671297,24044,3880,8774885,146020,2017-07-22 16:56:37+00:00
888554962724278272,18558,3182,8774885,146020,2017-07-22 00:23:06+00:00
888078434458587136,20469,3165,8774885,146020,2017-07-20 16:49:33+00:00
887705289381826560,28419,4919,8774885,146020,2017-07-19 16:06:48+00:00
887517139158093824,43596,10766,8774885,146020,2017-07-19 03:39:09+00:00
887473957103951883,64612,16451,8774885,146020,2017-07-19 00:47:34+00:00
887343217045368832,31628,9565,8774885,146020,2017-07-18 16:08:03+00:00
887101392804085760,28776,5450,8774885,146020,2017-07-18 00:07:08+00:00
886983233522544640,32840,7016,8774885,146020,2017-07-17 16:17:36+00:00
886736880519319552,11267,2938,8774885,146020,2017-07-16 23:58:41+00:00
